#Authors: Morton T.D., Bryson S.T., Coughlin J.L., Rowe J.F., Ravichandran G.,
#Table: False Positive Probability Results
#================================================================================
#Byte-by-byte Description of file: apj523473t6_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label   Explanations
#--------------------------------------------------------------------------------
#   1-  9 A9     ---     KOI     Kepler Object of Interest identifier
# 132-133 A2     ---     Disp.   Exoplanet Archive disposition code (8)
# 135-141 E7.1   ---     FPP     ? False positive probability (9)
# 143-149 E7.1   ---   e_FPP     ? Uncertainty in FPP (10)
#--------------------------------------------------------------------------------
#    FP = false positive;
#    CA = candidate;
#--------------------------------------------------------------------------------
00137.03 PL 1.6e-02 2.1e-03
00138.01 CA 9.7e-01 1.8e-03
00139.01 PL 1.9e-02 4.3e-03
00139.02 PL 0.0e+00 0.0e+00
00140.01 FP 2.1e-01 2.9e-01
00141.01 CA 2.6e-02 1.1e-02
00143.01 FP 2.9e-01 3.8e-02
00144.01 CA 6.3e-03 7.0e-03
00145.01 CA 9.5e-01 6.4e-03
00146.01 FP 9.9e-01 9.9e-04
00147.01 FP 1.0e+00 0.0e+00
00148.01 PL 6.3e-04 1.8e-04
00148.02 PL 2.8e-06 1.7e-06
00148.03 PL 1.5e-04 2.8e-05
00149.01 CA 0.0e+00 0.0e+00
00150.01 PL 2.9e-05 1.1e-05
00150.02 PL 3.2e-06 1.3e-06
00151.01 CA 8.1e-01 9.3e-03
00152.01 PL 1.1e-05 7.8e-06
00152.02 PL 1.1e-04 7.7e-05
00152.03 PL 1.9e-04 8.3e-05
00152.04 PL 9.3e-02 4.8e-03
00153.01 PL 2.0e-05 5.2e-06
00153.02 PL 6.6e-04 2.1e-04
00155.01 CA 0.0e+00 0.0e+00
00156.01 PL 2.2e-05 6.2e-06
00156.02 PL 1.6e-05 4.1e-06
00156.03 PL 2.0e-05 8.6e-06
00157.01 PL 2.2e-04 8.2e-05
00157.02 PL 1.7e-03 5.3e-04
00157.03 PL 6.9e-03 1.3e-03
00157.04 PL 2.1e-03 4.5e-04
00157.05 PL 6.4e-05 2.3e-05
00157.06 PL 9.2e-05 3.4e-05
00158.01 FP 4.2e-02 1.3e-02
00159.01 PL 1.6e-04 1.5e-04
00159.02 PL 5.9e-03 2.5e-04
00160.01 CA 4.4e-01 4.9e-02
00161.01 CA 0.0e+00 0.0e+00
00162.01 CA 5.5e-05 2.7e-05
00163.01 CA 8.7e-06 5.0e-06
00164.01 FP 1.0e+00 0.0e+00
00165.01 CA 8.2e-06 2.3e-06
00166.01 CA 2.3e-03 9.8e-04
00167.01 CA 5.9e-06 6.7e-06
00168.01 PL 5.4e-03 1.2e-02
00168.02 PL 6.1e-06 0.0e+00
00168.03 PL 1.0e+00 0.0e+00
00169.01 FP 7.3e-02 2.1e-02
00170.01 FP 6.4e-01 1.4e-01
00171.01 PL 1.2e-05 1.3e-05
00171.02 PL 1.5e-02 2.0e-03
00172.01 PL 1.2e-03 7.5e-04
00172.02 PL 1.7e-03 9.7e-05
00173.01 CA 2.2e-04 9.8e-05
00174.01 CA 2.3e-04 9.3e-05
00175.01 FP 1.3e-01 5.7e-02
00176.01 CA 2.1e-03 7.7e-04
00177.01 CA 6.7e-02 1.9e-02
00178.01 FP 1.0e+00 0.0e+00
00179.01 CA 7.4e-05 7.5e-06
00180.01 CA 1.4e-05 1.1e-05
00181.01 FP 1.4e-02 8.6e-03
00182.01 CA 4.9e-02 2.6e-02
00183.01 PL 0.0e+00 0.0e+00
00184.01 FP 4.2e-02 1.2e-02
00186.01 CA 0.0e+00 0.0e+00
00187.01 FP 1.9e-02 5.7e-03
00188.01 PL 1.2e-05 1.0e-05
00189.01 CA 2.7e-04 2.3e-04
00190.01 FP 1.1e-02 1.2e-02
00191.01 CA 2.3e-04 1.3e-04
00191.02 CA 1.9e-02 2.5e-03
00191.03 CA 1.0e+00 0.0e+00
00191.04 CA 8.7e-04 2.0e-04
00192.01 PL 0.0e+00 0.0e+00
00193.01 FP 9.4e-02 1.3e-02
00194.01 CA 8.4e-04 1.6e-04
00195.01 PL 0.0e+00 0.0e+00
00196.01 PL 7.9e-05 5.0e-05
00197.01 CA 0.0e+00 0.0e+00
